Phrase	IPA	SoundsLike	DisplayAs
１型糖尿病性高血糖高浸透圧症候群		１ガタトウニョウビョウセイコウケットウコウシントウアツショウコウグン	１型糖尿病性高血糖高浸透圧症候群
１型糖尿病性高コレステロール血症		１ガタトウニョウビョウセイコウコレステロールケッショウ	１型糖尿病性高コレステロール血症
１型糖尿病性虹彩炎		１ガタトウニョウビョウセイコウサイエン	１型糖尿病性虹彩炎
１型糖尿病性骨症		１ガタトウニョウビョウセイコツショウ	１型糖尿病性骨症
１型糖尿病性昏睡		１ガタトウニョウビョウセイコンスイ	１型糖尿病性昏睡
１型糖尿病性神経因性膀胱		１ガタトウニョウビョウセイシンケイインセイボウコウ	１型糖尿病性神経因性膀胱
１型糖尿病性神経痛		１ガタトウニョウビョウセイシンケイツウ	１型糖尿病性神経痛
１型糖尿病性自律神経ニューロパチー		１ガタトウニョウビョウセイジリツシンケイニューロパチー	１型糖尿病性自律神経ニューロパチー
１型糖尿病性腎硬化症		１ガタトウニョウビョウセイジンコウカショウ	１型糖尿病性腎硬化症
１型糖尿病性腎症		１ガタトウニョウビョウセイジンショウ	１型糖尿病性腎症
１型糖尿病性腎症第１期		１ガタトウニョウビョウセイジンショウダイ１キ	１型糖尿病性腎症第１期
１型糖尿病性腎症第２期		１ガタトウニョウビョウセイジンショウダイ２キ	１型糖尿病性腎症第２期
１型糖尿病性腎症第３期		１ガタトウニョウビョウセイジンショウダイ３キ	１型糖尿病性腎症第３期
１型糖尿病性腎症第３期Ａ		１ガタトウニョウビョウセイジンショウダイ３キＡ	１型糖尿病性腎症第３期Ａ
１型糖尿病性腎症第３期Ｂ		１ガタトウニョウビョウセイジンショウダイ３キＢ	１型糖尿病性腎症第３期Ｂ
１型糖尿病性腎症第４期		１ガタトウニョウビョウセイジンショウダイ４キ	１型糖尿病性腎症第４期
１型糖尿病性腎症第５期		１ガタトウニョウビョウセイジンショウダイ５キ	１型糖尿病性腎症第５期
１型糖尿病性腎不全		１ガタトウニョウビョウセイジンフゼン	１型糖尿病性腎不全
１型糖尿病性水疱		１ガタトウニョウビョウセイスイホウ	１型糖尿病性水疱
１型糖尿病性精神障害		１ガタトウニョウビョウセイセイシンショウガイ	１型糖尿病性精神障害
１型糖尿病性そう痒症		１ガタトウニョウビョウセイソウヨウショウ	１型糖尿病性そう痒症
１型糖尿病性多発ニューロパチー		１ガタトウニョウビョウセイタハツニューロパチー	１型糖尿病性多発ニューロパチー
１型糖尿病性単ニューロパチー		１ガタトウニョウビョウセイタンニューロパチー	１型糖尿病性単ニューロパチー
１型糖尿病性中心性網膜症		１ガタトウニョウビョウセイチュウシンセイモウマクショウ	１型糖尿病性中心性網膜症
１型糖尿病性低血糖性昏睡		１ガタトウニョウビョウセイテイケットウセイコンスイ	１型糖尿病性低血糖性昏睡
１型糖尿病性動脈硬化症		１ガタトウニョウビョウセイドウミャクコウカショウ	１型糖尿病性動脈硬化症
１型糖尿病性動脈閉塞症		１ガタトウニョウビョウセイドウミャクヘイソクショウ	１型糖尿病性動脈閉塞症
１型糖尿病性ニューロパチー		１ガタトウニョウビョウセイニューロパチー	１型糖尿病性ニューロパチー
１型糖尿病性白内障		１ガタトウニョウビョウセイハクナイショウ	１型糖尿病性白内障
１型糖尿病性皮膚障害		１ガタトウニョウビョウセイヒフショウガイ	１型糖尿病性皮膚障害
１型糖尿病性浮腫性硬化症		１ガタトウニョウビョウセイフシュセイコウカショウ	１型糖尿病性浮腫性硬化症
１型糖尿病性末梢血管症		１ガタトウニョウビョウセイマッショウケッカンショウ	１型糖尿病性末梢血管症
１型糖尿病性末梢血管障害		１ガタトウニョウビョウセイマッショウケッカンショウガイ	１型糖尿病性末梢血管障害
１型糖尿病性末梢神経障害		１ガタトウニョウビョウセイマッショウシンケイショウガイ	１型糖尿病性末梢神経障害
１型糖尿病性網膜症		１ガタトウニョウビョウセイモウマクショウ	１型糖尿病性網膜症
１型尿細管性アシドーシス		１ガタニョウサイカンセイアシドーシス	１型尿細管性アシドーシス
Ｉ型溶血性非球状赤血球性貧血		１ガタヨウケツセイヒキュウジョウセッケッキュウセイヒンケツ	Ｉ型溶血性非球状赤血球性貧血
Ｉ群ハンセン病		１グンハンセンビョウ	Ｉ群ハンセン病
１系統に異形成を伴う不応性血球減少症		１ケイトウニイケイセイヲトモナウフオウセイケッキュウゲンショウショウ	１系統に異形成を伴う不応性血球減少症
１色覚		１シキカク	１色覚
１秒率低下		１ビョウリツテイカ	１秒率低下
１秒量低下		１ビョウリョウテイカ	１秒量低下
２１−水酸化酵素欠損症		２１−スイサンカコウソケッソンショウ	２１−水酸化酵素欠損症
２２ｑ１１．２欠失症候群		２２ｑ１１．２ケッシツショウコウグン	２２ｑ１１．２欠失症候群
２２ｑテトラソミー症候群		２２ｑテトラソミーショウコウグン	２２ｑテトラソミー症候群
２型２色覚		２ガタ２シキカク	２型２色覚
２型３色覚		２ガタ３シキカク	２型３色覚
２型呼吸不全		２ガタコキュウフゼン	２型呼吸不全
２型コラーゲン異常症関連疾患		２ガタコラーゲンイジョウショウカンレンシッカン	２型コラーゲン異常症関連疾患
２型色覚		２ガタシキカク	２型色覚
２型自己免疫性膵炎		２ガタジコメンエキセイスイエン	２型自己免疫性膵炎
２型糖尿病		２ガタトウニョウビョウ	２型糖尿病
２型糖尿病・関節合併症あり		２ガタトウニョウビョウ・カンセツガッペイショウアリ	２型糖尿病・関節合併症あり
２型糖尿病・眼合併症あり		２ガタトウニョウビョウ・ガンガッペイショウアリ	２型糖尿病・眼合併症あり
２型糖尿病・ケトアシドーシス合併あり		２ガタトウニョウビョウ・ケトアシドーシスガッペイアリ	２型糖尿病・ケトアシドーシス合併あり
２型糖尿病・昏睡合併あり		２ガタトウニョウビョウ・コンスイガッペイアリ	２型糖尿病・昏睡合併あり
２型糖尿病・神経学的合併症あり		２ガタトウニョウビョウ・シンケイガクテキガッペイショウアリ	２型糖尿病・神経学的合併症あり
２型糖尿病・腎合併症あり		２ガタトウニョウビョウ・ジンガッペイショウアリ	２型糖尿病・腎合併症あり
２型糖尿病・多発糖尿病性合併症あり		２ガタトウニョウビョウ・タハツトウニョウビョウセイガッペイショウアリ	２型糖尿病・多発糖尿病性合併症あり
２型糖尿病・糖尿病性合併症あり		２ガタトウニョウビョウ・トウニョウビョウセイガッペイショウアリ	２型糖尿病・糖尿病性合併症あり
２型糖尿病・糖尿病性合併症なし		２ガタトウニョウビョウ・トウニョウビョウセイガッペイショウナシ	２型糖尿病・糖尿病性合併症なし
２型糖尿病・末梢循環合併症あり		２ガタトウニョウビョウ・マッショウジュンカンガッペイショウアリ	２型糖尿病・末梢循環合併症あり
２型糖尿病黄斑症		２ガタトウニョウビョウオウハンショウ	２型糖尿病黄斑症
２型糖尿病合併妊娠		２ガタトウニョウビョウガッペイニンシン	２型糖尿病合併妊娠
２型糖尿病合併慢性腎臓病		２ガタトウニョウビョウガッペイマンセイジンゾウビョウ	２型糖尿病合併慢性腎臓病
２型糖尿病性アシドーシス		２ガタトウニョウビョウセイアシドーシス	２型糖尿病性アシドーシス
２型糖尿病性アセトン血症		２ガタトウニョウビョウセイアセトンケッショウ	２型糖尿病性アセトン血症
２型糖尿病性胃腸症		２ガタトウニョウビョウセイイチョウショウ	２型糖尿病性胃腸症
２型糖尿病性壊疽		２ガタトウニョウビョウセイエソ	２型糖尿病性壊疽
２型糖尿病性黄斑浮腫		２ガタトウニョウビョウセイオウハンフシュ	２型糖尿病性黄斑浮腫
２型糖尿病性潰瘍		２ガタトウニョウビョウセイカイヨウ	２型糖尿病性潰瘍
２型糖尿病性肝障害		２ガタトウニョウビョウセイカンショウガイ	２型糖尿病性肝障害
２型糖尿病性関節症		２ガタトウニョウビョウセイカンセツショウ	２型糖尿病性関節症
２型糖尿病性眼筋麻痺		２ガタトウニョウビョウセイガンキンマヒ	２型糖尿病性眼筋麻痺
２型糖尿病性筋萎縮症		２ガタトウニョウビョウセイキンイシュクショウ	２型糖尿病性筋萎縮症
２型糖尿病性血管障害		２ガタトウニョウビョウセイケッカンショウガイ	２型糖尿病性血管障害
２型糖尿病性ケトーシス		２ガタトウニョウビョウセイケトーシス	２型糖尿病性ケトーシス
２型糖尿病性ケトアシドーシス		２ガタトウニョウビョウセイケトアシドーシス	２型糖尿病性ケトアシドーシス
２型糖尿病性高血糖高浸透圧症候群		２ガタトウニョウビョウセイコウケットウコウシントウアツショウコウグン	２型糖尿病性高血糖高浸透圧症候群
２型糖尿病性高コレステロール血症		２ガタトウニョウビョウセイコウコレステロールケッショウ	２型糖尿病性高コレステロール血症
２型糖尿病性虹彩炎		２ガタトウニョウビョウセイコウサイエン	２型糖尿病性虹彩炎
２型糖尿病性骨症		２ガタトウニョウビョウセイコツショウ	２型糖尿病性骨症
２型糖尿病性昏睡		２ガタトウニョウビョウセイコンスイ	２型糖尿病性昏睡
２型糖尿病性神経因性膀胱		２ガタトウニョウビョウセイシンケイインセイボウコウ	２型糖尿病性神経因性膀胱
２型糖尿病性神経痛		２ガタトウニョウビョウセイシンケイツウ	２型糖尿病性神経痛
２型糖尿病性自律神経ニューロパチー		２ガタトウニョウビョウセイジリツシンケイニューロパチー	２型糖尿病性自律神経ニューロパチー
２型糖尿病性腎硬化症		２ガタトウニョウビョウセイジンコウカショウ	２型糖尿病性腎硬化症
２型糖尿病性腎症		２ガタトウニョウビョウセイジンショウ	２型糖尿病性腎症
２型糖尿病性腎症第１期		２ガタトウニョウビョウセイジンショウダイ１キ	２型糖尿病性腎症第１期
２型糖尿病性腎症第２期		２ガタトウニョウビョウセイジンショウダイ２キ	２型糖尿病性腎症第２期
２型糖尿病性腎症第３期		２ガタトウニョウビョウセイジンショウダイ３キ	２型糖尿病性腎症第３期
２型糖尿病性腎症第３期Ａ		２ガタトウニョウビョウセイジンショウダイ３キＡ	２型糖尿病性腎症第３期Ａ
２型糖尿病性腎症第３期Ｂ		２ガタトウニョウビョウセイジンショウダイ３キＢ	２型糖尿病性腎症第３期Ｂ
２型糖尿病性腎症第４期		２ガタトウニョウビョウセイジンショウダイ４キ	２型糖尿病性腎症第４期
２型糖尿病性腎症第５期		２ガタトウニョウビョウセイジンショウダイ５キ	２型糖尿病性腎症第５期
２型糖尿病性腎不全		２ガタトウニョウビョウセイジンフゼン	２型糖尿病性腎不全
２型糖尿病性水疱		２ガタトウニョウビョウセイスイホウ	２型糖尿病性水疱
２型糖尿病性精神障害		２ガタトウニョウビョウセイセイシンショウガイ	２型糖尿病性精神障害
２型糖尿病性そう痒症		２ガタトウニョウビョウセイソウヨウショウ	２型糖尿病性そう痒症
２型糖尿病性多発ニューロパチー		２ガタトウニョウビョウセイタハツニューロパチー	２型糖尿病性多発ニューロパチー
２型糖尿病性単ニューロパチー		２ガタトウニョウビョウセイタンニューロパチー	２型糖尿病性単ニューロパチー
２型糖尿病性中心性網膜症		２ガタトウニョウビョウセイチュウシンセイモウマクショウ	２型糖尿病性中心性網膜症
２型糖尿病性低血糖性昏睡		２ガタトウニョウビョウセイテイケットウセイコンスイ	２型糖尿病性低血糖性昏睡
２型糖尿病性動脈硬化症		２ガタトウニョウビョウセイドウミャクコウカショウ	２型糖尿病性動脈硬化症
２型糖尿病性動脈閉塞症		２ガタトウニョウビョウセイドウミャクヘイソクショウ	２型糖尿病性動脈閉塞症
２型糖尿病性ニューロパチー		２ガタトウニョウビョウセイニューロパチー	２型糖尿病性ニューロパチー
２型糖尿病性白内障		２ガタトウニョウビョウセイハクナイショウ	２型糖尿病性白内障
２型糖尿病性皮膚障害		２ガタトウニョウビョウセイヒフショウガイ	２型糖尿病性皮膚障害
２型糖尿病性浮腫性硬化症		２ガタトウニョウビョウセイフシュセイコウカショウ	２型糖尿病性浮腫性硬化症
２型糖尿病性末梢血管症		２ガタトウニョウビョウセイマッショウケッカンショウ	２型糖尿病性末梢血管症
２型糖尿病性末梢血管障害		２ガタトウニョウビョウセイマッショウケッカンショウガイ	２型糖尿病性末梢血管障害
２型糖尿病性末梢神経障害		２ガタトウニョウビョウセイマッショウシンケイショウガイ	２型糖尿病性末梢神経障害
２型糖尿病性ミオパチー		２ガタトウニョウビョウセイミオパチー	２型糖尿病性ミオパチー
２型糖尿病性網膜症		２ガタトウニョウビョウセイモウマクショウ	２型糖尿病性網膜症
２型尿細管性アシドーシス		２ガタニョウサイカンセイアシドーシス	２型尿細管性アシドーシス
ＩＩ型溶血性非球状赤血球性貧血		２ガタヨウケツセイヒキュウジョウセッケッキュウセイヒンケツ	ＩＩ型溶血性非球状赤血球性貧血
２色覚		２シキカク	２色覚
２対１房室ブロック		２タイ１ボウシツブロック	２対１房室ブロック
３−ヒドロキシアシルＣｏＡ脱水素酵素欠損症		３−ヒドロキシアシルＣｏＡダッスイソコウソケッソンショウ	３−ヒドロキシアシルＣｏＡ脱水素酵素欠損症
３−メチルグルタコン酸尿症		３−メチルグルタコンサンニョウショウ	３−メチルグルタコン酸尿症
３型２色覚		３ガタ２シキカク	３型２色覚
３型３色覚		３ガタ３シキカク	３型３色覚
３型色覚		３ガタシキカク	３型色覚
３β−水酸化ステロイド脱水素酵素欠損症		３ベータ−スイサンカステロイドダッスイソコウソケッソンショウ	３β−水酸化ステロイド脱水素酵素欠損症
４６ＸＸ性分化疾患		４６ＸＸセイブンカシッカン	４６ＸＸ性分化疾患
４６ＸＸ卵精巣性性分化疾患		４６ＸＸランセイソウセイセイブンカシッカン	４６ＸＸ卵精巣性性分化疾患
４６ＸＹ性分化疾患		４６ＸＹセイブンカシッカン	４６ＸＹ性分化疾患
４ｐ欠失症候群		４ｐケッシツショウコウグン	４ｐ欠失症候群
４型尿細管性アシドーシス		４ガタニョウサイカンセイアシドーシス	４型尿細管性アシドーシス
４分の１半盲		４ブンノ１ハンモウ	４分の１半盲
４分の３冠過高		４ブンノ３カンカコウ	４分の３冠過高
４分の３冠粗造		４ブンノ３カンソゾウ	４分の３冠粗造
４分の３冠脱離		４ブンノ３カンダツリ	４分の３冠脱離
４分の３冠低位		４ブンノ３カンテイイ	４分の３冠低位
４分の３冠破損		４ブンノ３カンハソン	４分の３冠破損
４分の３冠不適合		４ブンノ３カンフテキゴウ	４分の３冠不適合
５ｐ欠失症候群		５ｐケッシツショウコウグン	５ｐ欠失症候群
５ｑ−症候群		５ｑマイナスショウコウグン	５ｑ−症候群
５アルファ−還元酵素欠損症		５アルファ−カンゲンコウソケッソンショウ	５アルファ−還元酵素欠損症
５分の４冠過高		５ブンノ４カンカコウ	５分の４冠過高
５分の４冠粗造		５ブンノ４カンソゾウ	５分の４冠粗造
５分の４冠脱離		５ブンノ４カンダツリ	５分の４冠脱離
５分の４冠低位		５ブンノ４カンテイイ	５分の４冠低位
５分の４冠破損		５ブンノ４カンハソン	５分の４冠破損
５分の４冠不適合		５ブンノ４カンフテキゴウ	５分の４冠不適合
９ｑ３４欠失症候群		９ｑ３４ケッシツショウコウグン	９ｑ３４欠失症候群
Ａ２０ハプロ不全症		Ａ２０ハプロフゼンショウ	Ａ２０ハプロ不全症
ＡＢＯ因子不適合		ＡＢＯインシフテキゴウ	ＡＢＯ因子不適合
ＡＢＯ因子不適合輸血		ＡＢＯインシフテキゴウユケツ	ＡＢＯ因子不適合輸血
ＡＢＯ溶血性疾患		ＡＢＯヨウケツセイシッカン	ＡＢＯ溶血性疾患
ＡＣＴＨ産生下垂体腺腫		ＡＣＴＨサンセイカスイタイセンシュ	ＡＣＴＨ産生下垂体腺腫
ＡＣＴＨ産生腫瘍		ＡＣＴＨサンセイシュヨウ	ＡＣＴＨ産生腫瘍
ＡＣＴＨ単独欠損症		ＡＣＴＨタンドクケッソンショウ	ＡＣＴＨ単独欠損症
ＡＣＴＨ分泌低下症		ＡＣＴＨブンピテイカショウ	ＡＣＴＨ分泌低下症
ＡＣバイパス術後		ＡＣバイパスジュツゴ	ＡＣバイパス術後
ＡＣバイパス術後機械的合併症		ＡＣバイパスジュツゴキカイテキガッペイショウ	ＡＣバイパス術後機械的合併症
ＡＤＡ２欠損症		ＡＤＡ２ケッソンショウ	ＡＤＡ２欠損症
ＡＤＡ欠乏症		ＡＤＡケツボウショウ	ＡＤＡ欠乏症
ＡＤＨ異常		ＡＤＨイジョウ	ＡＤＨ異常
ＡＦＰ高値		ＡＦＰコウチ	ＡＦＰ高値
ＡＨアミロイドーシス		ＡＨアミロイドーシス	ＡＨアミロイドーシス
ＡＩＤＳ		ＡＩＤＳ	ＡＩＤＳ
ＡＩＤＳ関連症候群		ＡＩＤＳカンレンショウコウグン	ＡＩＤＳ関連症候群
ＡＩＤＳ検査陽性		ＡＩＤＳケンサヨウセイ	ＡＩＤＳ検査陽性
ＡＬＫ陰性未分化大細胞リンパ腫		ＡＬＫインセイミブンカダイサイボウリンパシュ	ＡＬＫ陰性未分化大細胞リンパ腫
ＡＬＫ融合遺伝子陽性非小細胞肺癌		ＡＬＫユウゴウイデンシヨウセイヒショウサイボウハイガン	ＡＬＫ融合遺伝子陽性非小細胞肺癌
ＡＬＫ陽性大細胞型Ｂ細胞性リンパ腫		ＡＬＫヨウセイダイサイボウガタＢサイボウセイリンパシュ	ＡＬＫ陽性大細胞型Ｂ細胞性リンパ腫
ＡＬＫ陽性未分化大細胞リンパ腫		ＡＬＫヨウセイミブンカダイサイボウリンパシュ	ＡＬＫ陽性未分化大細胞リンパ腫
ＡＬアミロイドーシス		ＡＬアミロイドーシス	ＡＬアミロイドーシス
ＡＭＥ症候群		ＡＭＥショウコウグン	ＡＭＥ症候群
ＡＮＣＡ関連血管炎		ＡＮＣＡカンレンケッカンエン	ＡＮＣＡ関連血管炎
ＡＮＣＡ関連腎炎		ＡＮＣＡカンレンジンエン	ＡＮＣＡ関連腎炎
ＡＴＲ−Ｘ症候群		ＡＴＲ−Ｘショウコウグン	ＡＴＲ−Ｘ症候群
ＡＶＭ		ＡＶＭ	ＡＶＭ
Ａ型肝炎		Ａガタカンエン	Ａ型肝炎
Ａ型外斜視		Ａガタガイシャシ	Ａ型外斜視
Ａ型劇症肝炎		Ａガタゲキショウカンエン	Ａ型劇症肝炎
Ａ型食道閉鎖		Ａガタショクドウヘイサ	Ａ型食道閉鎖
Ａ型内斜視		Ａガタナイシャシ	Ａ型内斜視
Ａ群β溶血連鎖球菌感染症		Ａグンベータヨウケツレンサキュウキンカンセンショウ	Ａ群β溶血連鎖球菌感染症
Ａ群溶血性連鎖球菌咽頭炎		Ａグンヨウケツセイレンサキュウキンイントウエン	Ａ群溶血性連鎖球菌咽頭炎
Ａ群連鎖球菌菌血症		Ａグンレンサキュウキンキンケツショウ	Ａ群連鎖球菌菌血症
Ａ群連鎖球菌敗血症		Ａグンレンサキュウキンハイケツショウ	Ａ群連鎖球菌敗血症
ＢＢ型ハンセン病		ＢＢガタハンセンビョウ	ＢＢ型ハンセン病
ＢＣＧ副反応		ＢＣＧフクハンノウ	ＢＣＧ副反応
ＢＣＲ−ＡＢＬ１陽性Ｂリンパ芽球性白血病		ＢＣＲ−ＡＢＬ１ヨウセイＢリンパガキュウセイハッケツビョウ	ＢＣＲ−ＡＢＬ１陽性Ｂリンパ芽球性白血病
ＢＣＲ−ＡＢＬ１陽性Ｂリンパ芽球性白血病／リンパ腫		ＢＣＲ−ＡＢＬ１ヨウセイＢリンパガキュウセイハッケツビョウ／リンパシュ	ＢＣＲ−ＡＢＬ１陽性Ｂリンパ芽球性白血病／リンパ腫
ＢＣＲ−ＡＢＬ１陽性Ｂリンパ芽球性リンパ腫		ＢＣＲ−ＡＢＬ１ヨウセイＢリンパガキュウセイリンパシュ	ＢＣＲ−ＡＢＬ１陽性Ｂリンパ芽球性リンパ腫
ＢＨ４反応性高フェニルアラニン血症		ＢＨ４ハンノウセイコウフェニルアラニンケッショウ	ＢＨ４反応性高フェニルアラニン血症
ＢＫウイルス腎症		ＢＫウイルスジンショウ	ＢＫウイルス腎症
ＢＬＮＡＲ感染症		ＢＬＮＡＲカンセンショウ	ＢＬＮＡＲ感染症
ＢＬ型ハンセン病		ＢＬガタハンセンビョウ	ＢＬ型ハンセン病
ＢＲＡＦ遺伝子変異陽性悪性黒色腫		ＢＲＡＦイデンシヘンイヨウセイアクセイコクショクシュ	ＢＲＡＦ遺伝子変異陽性悪性黒色腫
ＢＴ型ハンセン病		ＢＴガタハンセンビョウ	ＢＴ型ハンセン病
Ｂウイルス病		Ｂウイルスビョウ	Ｂウイルス病
Ｂ型インスリン受容体異常症		Ｂガタインスリンジュヨウタイイジョウショウ	Ｂ型インスリン受容体異常症
Ｂ型肝炎		Ｂガタカンエン	Ｂ型肝炎
Ｂ型肝炎ウイルス感染		Ｂガタカンエンウイルスカンセン	Ｂ型肝炎ウイルス感染
Ｂ型肝炎ウイルス感染の既往		Ｂガタカンエンウイルスカンセンノキオウ	Ｂ型肝炎ウイルス感染の既往
Ｂ型肝炎ウイルス感染母体より出生した児		Ｂガタカンエンウイルスカンセンボタイヨリシュッセイシタジ	Ｂ型肝炎ウイルス感染母体より出生した児
Ｂ型肝炎ウイルス関連血管炎		Ｂガタカンエンウイルスカンレンケッカンエン	Ｂ型肝炎ウイルス関連血管炎
Ｂ型肝炎ウイルス性関節炎		Ｂガタカンエンウイルスセイカンセツエン	Ｂ型肝炎ウイルス性関節炎
Ｂ型肝炎合併妊娠		Ｂガタカンエンガッペイニンシン	Ｂ型肝炎合併妊娠
Ｂ型肝硬変		Ｂガタカンコウヘン	Ｂ型肝硬変
Ｂ型急性肝炎		Ｂガタキュウセイカンエン	Ｂ型急性肝炎
Ｂ型劇症肝炎		Ｂガタゲキショウカンエン	Ｂ型劇症肝炎
Ｂ型代償性肝硬変		Ｂガタダイショウセイカンコウヘン	Ｂ型代償性肝硬変
Ｂ型非代償性肝硬変		Ｂガタヒダイショウセイカンコウヘン	Ｂ型非代償性肝硬変
Ｂ型慢性肝炎		Ｂガタマンセイカンエン	Ｂ型慢性肝炎
Ｂ群溶連菌感染症		Ｂグンヨウレンキンカンセンショウ	Ｂ群溶連菌感染症
Ｂ群溶連菌感染母体より出生した児		Ｂグンヨウレンキンカンセンボタイヨリシュッセイシタジ	Ｂ群溶連菌感染母体より出生した児
Ｂ群溶連菌性化膿性股関節炎		Ｂグンヨウレンキンセイカノウセイコカンセツエン	Ｂ群溶連菌性化膿性股関節炎
Ｂ群溶連菌保菌者		Ｂグンヨウレンキンホキンシャ	Ｂ群溶連菌保菌者
Ｂ群連鎖球菌菌血症		Ｂグンレンサキュウキンキンケツショウ	Ｂ群連鎖球菌菌血症
Ｂ群連鎖球菌性先天性肺炎		Ｂグンレンサキュウキンセイセンテンセイハイエン	Ｂ群連鎖球菌性先天性肺炎
Ｂ群連鎖球菌肺炎		Ｂグンレンサキュウキンハイエン	Ｂ群連鎖球菌肺炎
Ｂ群連鎖球菌敗血症		Ｂグンレンサキュウキンハイケツショウ	Ｂ群連鎖球菌敗血症
Ｂ細胞性移植後リンパ増殖性疾患		Ｂサイボウセイイショクゴリンパゾウショクセイシッカン	Ｂ細胞性移植後リンパ増殖性疾患
Ｂ細胞性前リンパ球性白血病		Ｂサイボウセイゼンリンパキュウセイハッケツビョウ	Ｂ細胞性前リンパ球性白血病
Ｂ細胞性非ホジキンリンパ腫		Ｂサイボウセイヒホジキンリンパシュ	Ｂ細胞性非ホジキンリンパ腫
Ｂ細胞リンパ腫		Ｂサイボウリンパシュ	Ｂ細胞リンパ腫
Ｂリンパ芽球性白血病		Ｂリンパガキュウセイハッケツビョウ	Ｂリンパ芽球性白血病
Ｂリンパ芽球性白血病／リンパ腫		Ｂリンパガキュウセイハッケツビョウ／リンパシュ	Ｂリンパ芽球性白血病／リンパ腫
